Rk,Score,PtsW,PtsL
661,59-3,59,3
662,59-4,59,4
663,59-5,59,5
664,59-6,59,6
665,59-8,59,8
666,59-9,59,9
667,59-11,59,11
668,59-12,59,12
669,59-15,59,15
670,59-17,59,17
671,59-18,59,18
672,59-19,59,19
673,59-20,59,20
674,59-22,59,22
675,59-23,59,23
676,59-25,59,25
677,59-26,59,26
678,59-27,59,27
679,59-29,59,29
680,59-30,59,30
681,59-31,59,31
682,59-32,59,32
683,59-33,59,33
684,59-34,59,34
685,59-35,59,35
686,59-36,59,36
687,59-37,59,37
688,59-38,59,38
689,59-39,59,39
690,59-40,59,40
691,59-41,59,41
692,59-42,59,42
693,59-43,59,43
694,59-44,59,44
695,59-45,59,45
696,59-46,59,46
697,59-47,59,47
698,59-48,59,48
699,59-49,59,49
700,59-50,59,50
701,59-51,59,51
702,59-52,59,52
703,59-53,59,53
704,59-54,59,54
705,59-55,59,55
706,59-56,59,56
707,59-57,59,57
708,59-58,59,58
709,59-59,59,59
710,60-2,60,2
711,60-3,60,3
712,60-4,60,4
713,60-5,60,5
714,60-6,60,6
715,60-7,60,7
716,60-8,60,8
717,60-9,60,9
718,60-10,60,10
719,60-11,60,11
720,60-12,60,12
721,60-13,60,13
722,60-14,60,14
723,60-15,60,15
724,60-16,60,16
725,60-17,60,17
726,60-18,60,18
727,60-19,60,19
728,60-20,60,20
729,60-21,60,21
730,60-22,60,22
731,60-23,60,23
732,60-24,60,24
733,60-25,60,25
734,60-26,60,26
735,60-27,60,27
736,60-28,60,28
737,60-29,60,29
738,60-30,60,30
739,60-31,60,31
740,60-32,60,32
741,60-33,60,33
742,60-34,60,34
743,60-35,60,35
744,60-36,60,36
745,60-37,60,37
746,60-38,60,38
747,60-39,60,39
748,60-40,60,40
749,60-41,60,41
750,60-42,60,42
751,60-43,60,43
752,60-44,60,44
753,60-45,60,45
754,60-46,60,46
755,60-47,60,47
756,60-48,60,48
757,60-49,60,49
758,60-50,60,50
759,60-51,60,51
760,60-52,60,52
761,60-53,60,53
762,60-54,60,54
763,60-55,60,55
764,60-56,60,56
765,60-57,60,57
766,60-58,60,58
767,60-59,60,59
768,60-60,60,60
769,61-0,61,0
770,61-2,61,2
771,61-3,61,3
772,61-4,61,4
773,61-5,61,5
774,61-6,61,6
775,61-8,61,8
776,61-9,61,9
777,61-10,61,10
778,61-11,61,11
779,61-12,61,12
780,61-13,61,13
781,61-15,61,15
782,61-16,61,16
783,61-18,61,18
784,61-19,61,19
785,61-21,61,21
786,61-22,61,22
787,61-23,61,23
788,61-24,61,24
789,61-25,61,25
790,61-26,61,26
791,61-27,61,27
792,61-28,61,28
793,61-29,61,29
794,61-30,61,30
795,61-31,61,31
796,61-32,61,32
797,61-33,61,33
798,61-34,61,34
799,61-35,61,35
800,61-36,61,36
801,61-37,61,37
802,61-38,61,38
803,61-39,61,39
804,61-40,61,40
805,61-41,61,41
806,61-42,61,42
807,61-43,61,43
808,61-44,61,44
809,61-45,61,45
810,61-46,61,46
811,61-47,61,47
812,61-48,61,48
813,61-49,61,49
814,61-50,61,50
815,61-51,61,51
816,61-52,61,52
817,61-53,61,53
818,61-54,61,54
819,61-55,61,55
820,61-56,61,56
821,61-57,61,57
822,61-58,61,58
823,61-59,61,59
824,61-60,61,60
825,61-61,61,61
826,62-2,62,2
827,62-4,62,4
828,62-5,62,5
829,62-6,62,6
830,62-8,62,8
831,62-9,62,9
832,62-11,62,11
833,62-12,62,12
